Landuse,Region,Year,A,W,E,N
cropland,Pirkanmaa,1990,1421.659,517.5976,96.79426,452.9128
cropland,Pirkanmaa,1991,1423.525,597.6485,101.79095,469.7932
cropland,Pirkanmaa,1992,1388.026,597.0878,102.09637,464.1525
cropland,Pirkanmaa,1993,1483.01,610.8007,106.42703,487.6148
cropland,Pirkanmaa,1994,1444.922,595.9912,103.8873,474.4768
cropland,Pirkanmaa,1995,1331.36,506.1641,94.26948,426.8725
cropland,Pirkanmaa,1996,1412.596,465.8099,94.5875,434.9864
cropland,Pirkanmaa,1997,1412.043,449.1681,95.43157,430.2685
cropland,Pirkanmaa,1998,1260.002,422.0398,87.32742,387.8837
cropland,Pirkanmaa,1999,1214.917,434.2987,86.1817,382.7058
cropland,Pirkanmaa,2000,1448.885,446.1366,94.96501,436.1006
cropland,Pirkanmaa,2001,1385.234,436.0434,91.51726,420.0871
cropland,Pirkanmaa,2002,1398,435.689,91.91369,423.3001
cropland,Pirkanmaa,2003,1389.996,435.1245,91.48893,419.9861
cropland,Pirkanmaa,2004,1405.759,415.4015,90.41838,418.8807
cropland,Pirkanmaa,2005,1450.415,438.3483,93.21434,437.4818
cropland,Pirkanmaa,2006,1285.443,362.2383,82.7589,384.4301
cropland,Pirkanmaa,2007,1451.686,393.7089,90.13615,427.1035
cropland,Pirkanmaa,2008,1460.533,378.9221,89.38901,423.2811
cropland,Pirkanmaa,2009,1514.387,444.1545,95.57922,455.6386
cropland,Pirkanmaa,2010,1307.314,448.6268,88.96648,411.3466
cropland,Pirkanmaa,2011,1413.323,446.5956,92.30974,430.8466
cropland,Pirkanmaa,2012,1463.591,443.6452,93.60328,438.5061
cropland,Pirkanmaa,2013,1540.304,444.1625,96.35713,456.7969
cropland,Pirkanmaa,2014,1497.944,436.6143,94.276,444.5916
cropland,Pirkanmaa,2015,1525.253,438.7853,95.634,451.0581
cropland,Pirkanmaa,2016,1491.019,431.7632,93.91608,441.5681
cropland,Kainuu ,1990,1459.954,616.2455,129.4717,466.2485
cropland,Kainuu ,1991,1367.814,623.3453,125.1085,447.4508
cropland,Kainuu ,1992,1328.35,614.6415,119.1919,437.867
cropland,Kainuu ,1993,1342.448,616.2212,120.3017,441.2008
cropland,Kainuu ,1994,1357.632,592.9114,120.8776,438.8409
cropland,Kainuu ,1995,1328.547,584.5548,116.5962,431.1943
cropland,Kainuu ,1996,1339.289,570.649,116.5736,429.9772
cropland,Kainuu ,1997,1363.792,588.3627,118.9584,439.7534
cropland,Kainuu ,1998,1247.211,553.9755,111.6432,404.9297
cropland,Kainuu ,1999,1322.5,580.5436,115.9546,429.291
cropland,Kainuu ,2000,1352.359,573.0405,116.9531,433.7827
cropland,Kainuu ,2001,1316.6,566.5522,114.4521,424.2803
cropland,Kainuu ,2002,1413.18,597.9458,120.1481,453.6107
cropland,Kainuu ,2003,1344.047,567.23,115.2978,430.649
cropland,Kainuu ,2004,1306.81,577.2567,114.6813,424.6624
cropland,Kainuu ,2005,1338.681,572.5798,114.86,430.8043
cropland,Kainuu ,2006,1324.253,532.3635,113.1764,417.0482
cropland,Kainuu ,2007,1297.321,540.388,112.1483,413.2604
cropland,Kainuu ,2008,1267.351,533.6113,110.7359,405.0529
cropland,Kainuu ,2009,1286.454,576.9268,112.6349,420.0844
cropland,Kainuu ,2010,1271.196,588.8368,113.5857,419.2133
cropland,Kainuu ,2011,1317.222,592.7275,115.2859,430.4332
cropland,Kainuu ,2012,1244.003,577.5719,111.5461,410.2459
cropland,Kainuu ,2013,1304.647,591.7043,114.2488,427.6165
cropland,Kainuu ,2014,1307.265,617.0742,117.0392,433.6713
cropland,Kainuu ,2015,1215.017,564.2893,110.0817,400.3623
cropland,Kainuu ,2016,1180.998,569.915,105.0233,395.8169
cropland,Pohjois-Pohjanmaa,1990,1564.053,549.2993,124.9323,477.9312
cropland,Pohjois-Pohjanmaa,1991,1411.146,563.8662,116.7547,447.9062
cropland,Pohjois-Pohjanmaa,1992,1476.793,566.5898,120.4756,463.1524
cropland,Pohjois-Pohjanmaa,1993,1542.693,588.7965,124.8915,483.567
cropland,Pohjois-Pohjanmaa,1994,1547.564,580.1404,125.8871,481.9484
cropland,Pohjois-Pohjanmaa,1995,1603.899,568.4767,128.6835,492.4857
cropland,Pohjois-Pohjanmaa,1996,1608.989,534.9953,128.0229,484.1376
cropland,Pohjois-Pohjanmaa,1997,1583.476,536.6147,130.0002,479.1101
cropland,Pohjois-Pohjanmaa,1998,1388.345,509.0291,119.3099,427.56
cropland,Pohjois-Pohjanmaa,1999,1528.458,543.2948,125.6011,470.058
cropland,Pohjois-Pohjanmaa,2000,1566.988,537.8137,125.5533,478.2433
cropland,Pohjois-Pohjanmaa,2001,1498.557,516.2578,120.1224,458.6746
cropland,Pohjois-Pohjanmaa,2002,1644.146,531.2923,127.5103,494.2789
cropland,Pohjois-Pohjanmaa,2003,1555.358,510.5805,122.9235,468.1686
cropland,Pohjois-Pohjanmaa,2004,1531.52,505.5928,121.074,461.1998
cropland,Pohjois-Pohjanmaa,2005,1646.731,535.6462,127.8425,496.1029
cropland,Pohjois-Pohjanmaa,2006,1554.036,452.8511,119.1587,454.3762
cropland,Pohjois-Pohjanmaa,2007,1568.939,487.3063,122.2837,466.1642
cropland,Pohjois-Pohjanmaa,2008,1391.336,431.8768,109.5087,411.2981
cropland,Pohjois-Pohjanmaa,2009,1648.62,515.285,125.8999,491.8139
cropland,Pohjois-Pohjanmaa,2010,1573.947,545.4558,125.9424,483.4675
cropland,Pohjois-Pohjanmaa,2011,1575.551,528.0583,122.8685,479.7678
cropland,Pohjois-Pohjanmaa,2012,1523.35,508.6423,119.604,461.3779
cropland,Pohjois-Pohjanmaa,2013,1563.36,515.3229,121.0205,473.6073
cropland,Pohjois-Pohjanmaa,2014,1587.173,522.5283,123.0835,480.018
cropland,Pohjois-Pohjanmaa,2015,1434.537,485.6716,115.2519,435.7734
cropland,Pohjois-Pohjanmaa,2016,1543.021,509.4207,121.3338,465.3582
