TE;TE_KESKUS;Hiilivarasto MgCha;95 %;95 %;Akujärvi;Agri-input
1;1 Uusimaa;53.02;46.29;60.74;78.14;44
2;2 Varsinais-Suomi;51.63;44.52;59.88;79.71;45.57
3;3 Satakunta;53.79;45.83;63.12;81.87;48.34
4;4 Häme;50.58;45.81;55.85;80.24;45.82
5;5 Pirkanmaa;49.92;45.7;54.54;80.54;46.29
6;6 Kaakkois-Suomi;53.83;47.35;61.21;79.28;45.05
7;7 Etelä-Savo;46.52;41.54;52.1;81.09;47.62
8;8 Pohjois-Savo;44.71;40.16;49.78;80.94;46.93
9;9 Pohjois-Karjala;41.92;37.43;46.95;79.95;45.59
10;10 Keski-Suomi;43.37;39.32;47.84;80.39;45.92
11;11 Etelä-Pohjanmaa;67.28;59.04;76.68;85.82;53.51
12;12 Pohjanmaa;58.71;50.24;68.61;89.35;57.67
13;13 Pohjois-Pohjanmaa;60.54;54.83;66.85;86.15;52.99
14;14 Kainuu;59;48.5;71.78;81.51;46.41
15;15 Lappi;53.97;48.6;59.93;89.24;54.4
